p_id,title,category,brand,attributes
6602967.0,ریسه نئون فلکسی مدل v12 طول 1 متر,چراغ ریسه ای و نئونی,متفرقه,
1070091.0,ردکارنت - 125 گرم,میوه,متفرقه,
7507127.0,پن فلوت ایران ساز مدل PAN _18noteA,سازهای افکت,متفرقه,جنس چوب
8631215.0,نایلون بسته بندی مدل ضخیم گاست دار کد65.85 بسته 30 عددی,لوازم یکبار مصرف آشپزخانه,متفرقه,"کاربرد مسکونی, کاربرد اداری, کاربرد حرفه ای, کاربرد نیمه حرفه ای, کاربرد سایر موارد, ساخته شده از پلاستیک"
11137693.0,بازی آموزشی مدل کتاب پارچه‎‌ای اتل متل,بازی آموزشی,متفرقه,"هدف بازی افزایش خلاقیت, مناسب رده سنی 9 تا 36 ماهگی, مناسب رده سنی خردسال, مناسب رده سنی کودک, مناسب رده سنی یک سال به بالا, مناسب رده سنی 6 تا 18 ماهگی, مناسب رده سنی تا 4 سال, مناسب رده سنی تا 2 سال, مناسب رده سنی 18 ماه به بالا"
3164744.0,نور ثابت مدل CLK12 بسته 3 عددی به همراه فون عکاسی,نور ثابت,متفرقه,
7703696.0,مداد تتو صورت و بدن هنگسی مدل F-1380,سایر تجهیزات زیبایی,متفرقه,مشخصات محصول مناسب برای سالن زیبایی
5785116.0,استند سرو مدل sa01,ظروف سرو و پذیرایی,متفرقه,"جنس پلاستیک, تعداد طبقه دو عدد, سطح گود"
183101.0,چادر 2 نفره کینگ کمپ مدل KT3016,چادر مسافرتی,کینگ کمپ,"مناسب برای کمپینگ, مناسب برای طبیعت گردی, تعداد در یک عدد, تعداد هواکش یک عدد, گنجایش 2 نفره, جنس پارچه پلی استر"
666882.0,کلید شیشه بالابر دو پل مدل 02 مناسب برای پرایدصبا,مجموعه شیشه بالابر,متفرقه,"محل نصب جلو, جهت نصب چپ"
10498856.0,جوراب ورزشی ساق بلند مردانه ماییلدا مدل کف حوله ای کد 4187 رنگ سفید,جوراب ورزشی مردانه,ماییلدا,"نوع ساق بلند, طرح طرح دار"
721672.0,خودکار پنتر مدل Semi Gel بسته 10 عددی سایز 0.7,خودکار و روان نویس,پنتر,"نوع خودکار, رنگ نوشتاری ابی, نوع نوک ساچمه ای, ویژگی ها دستی لاستیکی"
9648721.0,زنجیر طلا 18 عیار زنانه طلای مستجابی مدل میرو کد Zb40,زنجیر طلا زنانه,طلای مستجابی,"جنس طلا, عیار 18, طرح زنجیر ترکیبی, نحوه بسته شدن قفل مدبر گرد"
326100.0,گردنبند شهر شیک طرح کپسول عشق مدل G140,گردنبند زنانه,شهر شیک,"جنس زنجیر استیل, ویژگی های ظاهری قفل, جنس پلاک استیل"
10655608.0,پنکه سانی مدل آبان,پنکه,سانی,"تعداد پره 5 پره, تنظیمات دستگاه تایمر"
6507549.0,اسلایسر برقی مدل 6030- DMC300,لوازم ویژه خانگی برقی,متفرقه,"جنس بدنه الومینیوم, محفظه دارای محفظه داخلی"
10320748.0, کاور بادیگارد مدل BatMan مناسب برای گوشی موبایل شیائومی Redmi Note 12R Pro,کیف و کاور گوشی,بادیگارد,"سازگار با گوشی موبایل سایر گوشی های موبایل, ساختار مات, جنس پلی کربنات"
3955712.0,تفنگ بازی گلدن گان مدل naabsell-PA11 مجموعه 11 عددی,تفنگ,گلدن گان,"مدل اسلحه کلت, مدل اسلحه تفنگ شکاری, مدل اسلحه تفنگ, مکانیزم ترقه ای, مناسب رده سنی خردسال, مناسب رده سنی کودک, مناسب رده سنی نوجوان"
8804482.0,پاستا ساز مارکاتو مدل Atlas 150 Slide,ابزار آشپزی,مارکاتو,"جنس دسته استیل, جنس بدنه کروم, کشور مبدا ایتالیا"
82004.0,کرم ضدآفتاب روشن کننده سان‌سیف,کرم ضد آفتاب,سان سیف,"جنس محفظه پلاستیک, spf 50"
467853.0,مانتو ملودی مدل 105,مانتو، پانچو و رویه,متفرقه,"قد بلند, مورد استفاده روزمره, تنخور لباس معمولی"
3927967.0,کلید کنترل اتوماتیک پمپ ایکار مدل Ic-8.2 ,پمپ سیالات,متفرقه,"نوع سیال یا مواد اب تمیز, کاربرد کنترل فشار"
11575630.0,  پادری طرح مدرن مدل ریگ دریایی m4-404 سایز 46x76 سانتی متر,پادری,متفرقه,فرم طراحی مستطیلی
12660368.0,پایه نگهدارنده مانیتور تراست مدل TDESK,لوازم جانبی قطعات کامپیوتر,تراست,
325143.0,کتاب آشنایی با وسایل مدرسه اثر سمیه قدیری,کتاب کودک و نوجوان,انتشارات شهر قلم,"قطع خشتی, گروه سنی الف"
14165122.0,هوزینگ ترموستات مدل ND28 مناسب برای نیسان وانت,ترموستات,متفرقه,"مناسب برای خودرو نیسان وانت مزدا, ویژگی های ترموستات مناسب چهار فصل"
8163117.0,کاور طرح چرم مدل m20 مناسب برای گوشی موبایل سامسونگ Galaxy M20,کیف و کاور گوشی,متفرقه,"سازگار با گوشی موبایل samsung galaxy m20, ساختار مات, جنس پلاستیک نرم, جنس چرم مصنوعی"
2050509.0,اسپری تمیزکننده موتور خودرو هیکان مدل Fox حجم 500 میلی لیتر,واکس، پولیش و تمیزکننده خودرو,متفرقه,"کاربرد موتور خودرو, کاربرد انژکتور, ویژگی های واکس پولیش و تمیزکننده براق کننده, ویژگی های واکس پولیش و تمیزکننده تمیز کننده"
1875365.0,قالب سنگ فرش مدل A1,مصالح ساختمانی,متفرقه,
4145803.0,محافظ صفحه نمایش بادیگارد مدل FS مناسب برای گوشی موبایل سامسونگ Galaxy A52,محافظ صفحه نمایش گوشی,بادیگارد,دارای محافظ برای قسمت جلو صفحه نمایش
1159678.0,کتاب عاشقانه ها اثر نادر ابراهیمی نشر روزبهان,کتاب شعر و ادبیات,نشر روزبهان,"قطع رقعی, گروه سنی بزرگسال, نوع جلد گالینگور"
15165767.0,آچار بکس بلند تات مدل BT-13 سایز 13 میلی متر,آچار,متفرقه,"نوع اچار بکس, ویژگی های اچار درایور 1 2 اینچ, تعداد 1, شماره اچار 13"
10572753.0,گردنبند خندالو مدل ولدمورت و هاگرید هری پاتر کد 55695568,گردنبند زنانه و مردانه,خندالو,"قابل استفاده برای اقایان, قابل استفاده برای اقایان و بانوان, قابل استفاده برای بانوان, قابل استفاده برای پسران, قابل استفاده برای دختران, قابل استفاده برای دختران و پسران, جنس پلاستیک, جنس چرم مصنوعی, طرح زنجیر بندی"
12283138.0,دستکش دروازه بانی مردانه مدل روچ ژله ای ساقدار,اکسسوری ورزشی مردانه,متفرقه,"جنس استرچ, جنس اسفنجی, جنس سیلیکون, جنس لاتکس"
12937088.0,محافظ صفحه نمایش یوریل مدل Horse مناسب برای گوشی موبایل شیائومی 13T Pro,محافظ صفحه نمایش گوشی,یوریل,"نوع محافظ صفحه نمایش, دارای محافظ برای قسمت جلو صفحه نمایش"
5251269.0,کپسول کارتیدنس هلث برست بسته 30 عددی ,ویتامین‌ها و مواد معدنی,هلث برست,"شکل محصول کپسول, صادرکننده مجوز سازمان غذا و دارو, کشور تولید کننده ایران"
214932.0,کفپوش سه بعدی خودرو بابل کارپت مناسب برای رنو ساندرو,کفپوش خودرو,بابل کارپت,"مناسب برای خودرو رنو ساندرو, جنس چرم"
496620.0,آبنما و حوضچه مدل F465,سایر لوازم تزئینی,متفرقه,جنس رزین
10687227.0,جک گازی کاپوت خودرو ساما وایپر بلید مدل 03 مناسب برای کوییک,سایر لوازم خودرو,ساما وایپر بلید,مناسب برای خودرو کوییک
2257675.0,پخش کننده خودرو پایونیر مدل DEH-S1150UB,دستگاه پخش خودرو,پایونیر,"سیستم عامل سازگار اندروید, اقلام همراه کالا دفترچه ی راهنما, ویژگی های دستگاه پخش خودرو کیفیت صدا 24 بیت, درگاه های ارتباطی پخش کننده خروجی مستقیم ساب ووفر"
10458925.0,کیف اداری زنانه مایکل کورس مدل MK-4226-L,کیف زنانه,مایکل کورس,"بند و دستگیره بدون دسته, نحوه بسته شدن کیف زیپ, مورد استفاده روزمره, مورد استفاده اداری و رسمی, جنس چرم مصنوعی"
2603710.0,سریس جا ادویه 9 پارچه کاپریس مدل پارادایس کد 13206,جای ادویه,متفرقه,"جنس بدنه شیشه, جنس سری استیل, امکانات ظاهری سری قابل تنظیم, قابلیت شست وشو با دست"
9520545.0,محافظ صفحه نمایش گلس وان مدل SUPERD مناسب برای گوشی موبایل سامسونگ Galaxy A72,محافظ صفحه نمایش گوشی,متفرقه,"نوع محافظ صفحه نمایش, دارای محافظ برای قسمت جلو صفحه نمایش"
4786483.0,لوازم تناسب اندام مدل push-up board,تجهیزات جانبی ایروبیک و تناسب اندام,متفرقه,
7205043.0,بازی فکری مدل در جستجوی سرنخ,بازی فکری,متفرقه,"تعداد بازیکن 2 تا 6 نفر, مناسب رده سنی بزرگسال, مناسب رده سنی کودک, مناسب رده سنی نوجوان"
11772475.0,ست انگشتر زنانه و مردانه مدل رینگی زنجیری,ست انگشتر زنانه و مردانه,متفرقه,نوع انگشتر فانتزی
12464920.0,لیوان مدل تکست lovely ,لیوان و فنجان,متفرقه,جنس سرامیک
5442074.0,باند محافظ مانیکور و پدیکور مدل Sheler-20,مانیکور، پدیکور,متفرقه,"نوع عملکرد دستی, نوع ست مانیکور, کاربرد سالن, کاربرد شخصی"
3756468.0,رول ملحفه یکبار مصرف تخت مدل M-288,سرویس خواب,متفرقه,
9708098.0,تل مو زنانه مدل اسپرت کد 6997141,اکسسوری مو زنانه,متفرقه,جنس tpu ترموپلاستیک پلی اورتان
9264770.0,پیکسل خندالو مدل  دابی انیمه آکادمی قهرمان من کد 16147,پیکسل,خندالو,"طرح پیکسل تصویر, جنس فلز"
9586268.0,پودر اکلیل مدل QR وزن 25 گرم بسته 2 عددی,سایر لوازم تزئینی,متفرقه,جنس اکریلیک
8315267.0,کولر آبی 2800 جنرال مدل P2800 به همراه پایه,کولر آبی,متفرقه,حجم خنک کنندگی 2800
4010218.0,فلوئید ضدآفتاب بی‌رنگ درماتیپیک +SPF50 مدل SFM، مناسب پوست‌های چرب، حجم 50 میلی‌لیتر,کرم ضد آفتاب,درماتیپیک,"جلوه رنگ مات, جنس محفظه پلاستیک, spf 50"
12104111.0,تبلت شیائومی مدل Redmi pad ظرفیت 128 گیگابایت و رم 6 گیگابایت به همراه محافظ صفحه نمایش,تبلت,شیائومی,"نوع کابل همراه usb type c, نسخه سیستم عامل android 12, حافظه داخلی 128 گیگابایت, مقدار رم 6 گیگابایت, اقلام همراه دفترچه راهنما, اقلام همراه شارژر, دوربین دوربین اصلی, رابط ها شیار کارت حافظه, رابط ها usb type c, رابط ها بلوتوث, شبکه های مخابراتی بدون سیم کارت, بازه اندازه صفحه نمایش بین 10 تا 13 اینچ"
112897.0,مایع جرم گیر ماشین ظرفشویی فینیش حجم 250 میلی لیتر,شوینده ظروف,فینیش,"امکانات و ویژگی های شوینده چربی زدایی, امکانات و ویژگی های شوینده جلوگیری از رسوبات اهکی, صادر کننده مجوز سازمان غذا و دارو"
1621630.0,پد سینه (شیردهی) قابل شستشو مدل Haiaho-W4 بسته 4 عددی,محافظ و پد سینه,متفرقه,"جنس پنبه, ویژگی های نظافتی قابلیت شست وشو"
11578992.0,محافظ صفحه نمایش نانو نایت مدل NKT مناسب برای ساعت هوشمند هاینو تکو T99 Ultra Max,لوازم جانبی ساعت و مچ بند هوشمند,متفرقه,مناسب برای اقایان و بانوان
4536943.0,بذر فلفل قلمی شیرین گیامیا مدل SP5002,بذر و تخم گیاهان,متفرقه,"نوع گیاه صیفی جات, فصل کاشت بهار"
1156848.0,پایه دیواری TNS مدل BT WF 06 مناسب برای تلویزیون های 19 تا 40 اینچ,پایه دیواری و سقفی,تی ان اس,"مناسب برای تلویزیون, قابلیت نصب روی دیوار"
6654067.0,هندزفری بلوتوثی گرین مدل TWS,هدفون، هدست و هندزفری,گرین لاین,"نوع اتصال با سیم, نوع اتصال بلوتوث, مناسب برای مکالمه, نوع گوشی دو گوشی, رابط ها lightningg, رابط ها بلوتوث, ویژگی های خاص مجهز به حس گر اثرانگشت"
11034432.0,سبد سیب زمینی و پیاز  مدل S-A-1004 ,سبد سیب زمینی و پیاز,متفرقه,"جنس فلز, تعداد طبقه دو عدد"
4956004.0,اسباب بازی بیلیارد مدل 8818,آشنایی با فنون,متفرقه,ژانر بازی ورزشی
14402753.0,کاور موفی مدل Puffer مناسب برای گوشی موبایل شیائومی Poco X6 Pro,کیف و کاور گوشی,موفی,"سازگار با گوشی موبایل سایر گوشی های موبایل, ساختار مات, جنس پلاستیک نرم, جنس tpu, جنس سیلیکون"
2821694.0,قابلمه پارس استیل مدل کف سه لایه کد 200 سایز 20,قابلمه و تابه,پارس استیل,
7514224.0,سالنامه سال 1401 جهان مدل جیبی,سالنامه,متفرقه,"قطع جیبی, سال 1401, نواخت روزها روز شمار جمعه جدا, نوع کاغذ سفید 70 گرم, ضمیمه ها دفتر تلفن, ضمیمه ها یادداشت, ضمیمه ها اطلاعات فنی مهندسی, ویژگی ها طرح, جنس جلد گالینگور"
13274853.0,سنگ نمک دکوری مدل شهابسنگ کد 860 بسته 3 عددی ,سایر لوازم تزئینی,متفرقه,
230423.0,کتاب فال ورق همراه با 52 کارت اثر نرجس زندی,کتاب فلسفه و روانشناسی,انتشارات جاجرمی,
724480.0,شیر کاکائو کاله - 1 لیتر,شیر طعم دار,کاله,
12204734.0,ساعت هوشمند تاچ لاین مدل T LINE S3,ساعت هوشمند,متفرقه,"نوع کاربری ورزشی, نوع کاربری رسمی, نوع کاربری روزمره, فرم صفحه گرد, نوع قفل بند سگکی ساده, مناسب برای اقایان و بانوان, جنس بدنه الومینیوم, جنس بند چرم, زبان های قابل پشتیبانی در اعلان و پیام فارسی, زبان های قابل پشتیبانی در اعلان و پیام انگلیسی, زبان های قابل پشتیبانی در اعلان و پیام چینی"
6821872.0,کش مو زنانه مدل kh1005 بافت حوله ای,اکسسوری مو زنانه,متفرقه,جنس بافت
2748851.0,کود آهن فلاورگرو کد 05 وزن 50 گرم,خاک و کود,متفرقه,نوع خاک و کود پودر
5069126.0,آداپتور آبگرمکن بوتان 3 ولت 500 میلی آمپر مدل 3500,آداپتور برق,متفرقه,"ولتاژ خروجی 3, شدت جریان خروجی 0 5"
914077.0,تابلو شاسی گالری استاربوی طرح بازی God Of War مدل Amazing Game 5,تابلو شاسی,متفرقه,"جنس چوب, نحوه استفاده اویز"
3426975.0,کابل تبدیل USB به USB-C بیاند مدل BA-306 طول 1 متر,کابل شارژ و مبدل,بیاند,"نوع کابل usb, نوع رابط usb type c, بازه طول کابل 16 تا 100 سانتی متر, قابلیت ها امکان انتقال اطلاعات"
12542807.0,سرخ کن بدون روغن میگل مدل GAF 200,سرخ کن,میگل,
4389124.0,ظرف یکبار مصرف مدل کیک 32 بسته 5 عددی,لوازم یکبار مصرف آشپزخانه,متفرقه,"سازگار با مایکروویو, کاربرد سایر موارد, ساخته شده از پلاستیک"
11247860.0,مداد رنگی 12 رنگ مپد مدل پاستیلی  ,مداد رنگی,مپد,
313420.0,گوشی موبایل اپل مدل iPhone X ظرفیت 256 گیگابایت,گوشی موبایل,اپل,"نسخه سیستم عامل ios 11, ویژگی های خاص مجهز به حس گر تشخیص چهره, ویژگی های خاص مقاوم در برابر اب, ویژگی های خاص مناسب بازی, ویژگی های خاص مناسب عکاسی, ویژگی های خاص مناسب عکاسی سلفی, اندازه 5 8, تعداد دوربین های پشت گوشی 2 ماژول دوربین, اقلام همراه تبدیل lightning به جک 3 5 میلی متری صدا, اقلام همراه دفترچه راهنما, اقلام همراه شارژر, اقلام همراه کابل lightning, اقلام همراه هندزفری, نوع سیم کارت سایز نانو 8 8 12 3 میلی متر, حافظه داخلی 256 گیگابایت, مقدار ram 3 گیگابایت, فناوری صفحه نمایش super retina, نوع محافظ صفحه نمایش گوشی scratch resistant glass, تعداد رنگ 16 میلیون رنگ, سیستم عامل ios, قابلیت های موبایل صفحه نمایش رنگی"
1048427.0,جوراب بچگانه طرح زنبور مدل AP7,جوراب نوزاد,متفرقه,
4590811.0,کاغذ یادداشت چسب دار سام مدل استیک نوت پد کد 5 بسته 400 عددی,کاغذ,متفرقه,جنس تحریر
6353974.0,ریسه ال ای دی مدل موزیک دار کد Remote Control طول 30 متر,چراغ ریسه ای و نئونی,متفرقه,
4424783.0,ساختنی اس وای مدل جوکر کد 1015B,ساختنی,متفرقه,"سری قهرمانان, مناسب رده سنی کودک, مناسب رده سنی نوجوان"
4356887.0,کرم آبرسان وان سپرینگ مدل 001 حجم 30 میلی لیتر مجموعه 5 عددی,کرم آبرسان و مرطوب کننده,وان سپرینگ,"جنس محفظه پلاستیک, نوع محفظه تیوبی"
973138.0, دستکش دروازه بانی رنگید مدل GK2,اکسسوری ورزشی زنانه و مردانه,متفرقه,
3536593.0,کپسول اسکور زینک تسنیم بسته 30 عددی,پوست، مو و ناخن,متفرقه,
11721766.0,مینی فرز لکا مدل AG115-07,فرز و سنگ رومیزی,متفرقه,"ویژگی های صفحه مناسب برای اهن, ویژگی های صفحه مناسب برای سنگ, ویژگی های فرز و سنگ رومیزی حفاظ, ویژگی های فرز و سنگ رومیزی مناسب برای چوب, ویژگی های فرز و سنگ رومیزی مناسب برای سنگ, ویژگی های فرز و سنگ رومیزی مناسب برای فلز, ویژگی های فرز و سنگ رومیزی برقی"
3768855.0,غذای خشک گربه جوسرا مدل Carismo وزن 2 کیلوگرم,غذای خشک گربه,جوسرا,
5901901.0,گریپ دسته دوچرخه مدل اسفنجی بسته 2 عددی,گریپ و نوار دسته,متفرقه,"مناسب برای دوچرخه کوهستان, جنس فوم"
5018045.0,شلوار جین زنانه مدل بگ,شلوار جین زنانه,متفرقه,"جنس جین, استایل لباس گشاد, طرح ساده, قد لباس تا مچ پا, نوع فاق متوسط, مورد استفاده اسپرت, مورد استفاده روزمره, مورد استفاده مهمانی"
7975822.0,آهن ربا تکسام مدل 103 بسته 5 عددی,آهن ربا,تکسام,
12560872.0,انبر سیم چین ماکسیم مدل 600 سایز 6 اینچ,انبر,متفرقه,"نوع انبر سیم چین, جنس دسته روکش دار"
11697889.0,تفنگ آب پاش مدل WATER M416,تفنگ,متفرقه,مکانیزم اب پاش
836232.0,محلول آب بندی و ایزولاسیون فوری کلیه سطوح نانونیا مدل N100 حجم ۱ لیتری,مصالح ساختمانی,متفرقه,
8710128.0, چیپ پروژکتور ال ای دی 50 وات مدل 30-36V کد 600MA بسته 4 عددی,لامپ,متفرقه,نوع پایه سیمی
7237753.0,جامدادی مدل کتابی برجسته طرح تنبل کد 9080,جامدادی,متفرقه,"جنس پلاستیک, نحوه بسته شدن زیپی"
10055914.0,پوشرنگ روغنی الکیدی مشکی مات صفاشیمی  مدل 620 وزن 4کیلوگرم,رنگ,متفرقه,"نوع بسته بندی قوطی, کاربری فلز, کاربری سایر, کاربری ساختمان, کاربری چوب, کاربری پروفیل, کاربری اهن, نوع رنگ روغن"
17353965.0,اسباب بازی شانسی کیمدی مدل میکس 2025 هیروز و چمپس مجموعه 6 عددی,اسباب بازی شانسی,کیمدی,
14091628.0,پایه خنک کننده لپ تاپ گیمینگ کول کلد مدل RGB 5FAN,استند و پایه خنک‌کننده,کول کلد,مناسب برای لپ تاپ های سایزهای مختلف
7637524.0,گتر سوارکاری مدل جیر کد L01,تجهیزات سوارکاری,متفرقه,جنس کش
2061569.0,کتاب نقدي بر روان شناسي اثر توماس تئو نشر انديشه احسان ,کتاب فلسفه و روانشناسی,انتشارات اندیشه احسان,"رده بندی کتاب روان شناسی فلسفه و روان شناسی, نوع جلد شومیز"
10639005.0,کاربراتور موتورسیکلت سیلور استار مدل  200cc,سایر لوازم یدکی موتور سیکلت,متفرقه,"نوع لوازم یدکی باک سوخت, مناسب برای موتورسیکلت با حجم موتور 200"
9830425.0,دفتر مشق 60 برگ گلبرگ طرح انیمه دخترانه کد 3765,دفتر,متفرقه,"نوع دفتر مشق, نوع صحافی سیمی, نوع جلد انعطاف پذیر, فرم صحافی عمودی, جنس جلد طلقی, تعداد برگ 60"
7003011.0,پایه نگهدارنده گوشی موبایل الدینیو مدل mg01,پایه نگهدارنده گوشی و تبلت,الدینیو,قابلیت های دستگاه امکان چرخش 360 درجه
12170248.0,تسمه موتورسیکلت مدل CHampion مناسب برای هوندا آیروکس,سایر لوازم یدکی موتور سیکلت,متفرقه,"نوع لوازم یدکی صفحه کلاج, مناسب برای موتورسیکلت با حجم موتور 100, مناسب برای موتورسیکلت با حجم موتور 125, مناسب برای موتورسیکلت با حجم موتور 150, مناسب برای موتورسیکلت با حجم موتور 175, مناسب برای موتورسیکلت با حجم موتور 180"
480743.0,ست آموزش شعبده بازی مدل VIDA مجموعه شماره 4,ابزار شوخی,متفرقه,"مکانیزم مکانیکی, ژانر سرگرمی"
14034612.0,بخارگر فیلیپس مدل STE3170 ,اتو,فیلیپس,"نوع اتو بخار, جنس کفه سرامیک"
1761476.0,نخ ماهیگیری مدل L50 سایز 0.50 میلی متر,لوازم ماهیگیری,متفرقه,نوع نخ
138306.0,فلاسک کلمن مدل Airpot ظرفیت 3 لیتر,قمقمه، فلاسک و کلمن,کلمن,نوع دهانه لوله نوشیدن
137047.0,کتاب قوانین نفوذ اثر رابرت گرین,کتاب فلسفه و روانشناسی,نشر هامون,"نوع جلد شومیز, گروه سنی بزرگسال"
14484598.0,رژگونه جامد هدی موجی مدل BLUSH شماره 2,رژ گونه,هدی موجی,"صادر کننده مجوز سازمان غذا و دارو, جلوه رنگ مات"
6136694.0,ساعت مچی عقربه‌ای مردانه نیوی فورس مدل NF-8018-SSB,ساعت عقربه ای مردانه,نیوی فورس,"مورد استفاده روزمره, مورد استفاده اداری و رسمی, مورد استفاده مهمانی, رنگ صفحه چند رنگ, رنگ بدنه چند رنگ, جنس شیشه معدنی, جنس بدنه فلز, جنس بند فلز, نوع قفل بند تاشو با محافظ, ویژگی های ظاهری مقاومت در برابر اب"
3792052.0,اسپری پولیش دوچرخه لیکو مولی کد af00238 حجم 400 میلی لیتر,ابزار دوچرخه,متفرقه,
8770709.0,گردنبند هایکا طرح نوشته درد تنهایی مدل S.ha1-377,گردنبند زنانه و مردانه,هایکا,"ویژگی های ظاهری مقاومت در برابر اب, قابل استفاده برای اقایان و بانوان, قابل استفاده برای دختران و پسران, جنس استیل, طرح زنجیر مهره ای"
12059223.0,چادر خودرو ساکا مدل Best مناسب برای MVM X22 Pro,چادر خودرو,متفرقه,مقاوم در برابر اب
10528127.0,اکشن فیگور مدل بتمن کد DA-96 مجموعه 3 عددی,فیگور,متفرقه,"نوع اسباب بازی فیگور, نوع اسباب بازی فیگور اکشن, جنس پلاستیک, جنس پارچه, جنس پلاستیک و پارچه"
411197.0,سیبک فرمان جک جی 5 اتومات و دنده مدل S3406L21050-50003,جلوبندی و تعلیق,متفرقه,"مناسب برای خودرو جک j5, مناسب برای خودرو جک j5, جنس فلز و پلاستیک"
8900054.0,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5-i5 8GB 1SSD MX450,لپ تاپ و الترابوک,لنوو,"سری پردازنده core i5, محدوده سرعت پردازنده 2 8 گیگاهرتز و بیشتر, سایز صفحه نمایش 15 6 اینچ, نوع صفحه نمایش پنل ips level panel, دقت صفحه نمایش 1080 1920 پیکسل full hd, حافظه cache 8 مگابایت, ظرفیت حافظه رم ram هشت گیگابایت, ظرفیت حافظه داخلی یک ترابایت, نوع حافظه داخلی ssd, حافظه اختصاصی پردازنده گرافیکی 2 گیگابایت, قابلیت های دستگاه صفحه نمایش مات, قابلیت های دستگاه حسگر اثر انگشت, قابلیت های دستگاه کیبورد با نور پس زمینه, قابلیت های دستگاه وبکم, کاربری عمومی, سیستم عامل بدون سیستم عامل"
13255175.0,برچسب پوششی ماهوت مدل infinity مناسب برای گوشی موبایل اچ تی سی One A9,کیف و کاور گوشی,ماهوت,"سازگار با گوشی موبایل htc one a9, ساختار مات, جنس پلی کربنات"
7755871.0,چیپ ال ای دی مدل 6v 0.5w 5730 بسته 100 عددی,لوازم جانبی نور و روشنایی,متفرقه,
6718972.0,شیلد کارت خوان Micro SD مدل WEMOS D1,قطعات الکترونیکی,متفرقه,"ویژگی های قطعات الکترونیکی اموزشی, ویژگی های قطعات الکترونیکی صنعتی, ویژگی های قطعات الکترونیکی عمومی"
14673891.0,کاور قاب گارد طرح دختر کد a2017 مناسب برای گوشی موبایل سامسونگ Galaxy S23 Ultra,کیف و کاور گوشی,متفرقه,"سازگار با گوشی موبایل samsung galaxy s23 ultra, ساختار مات, جنس پلاستیک نرم"
649509.0,سرویس قابلمه 6 پارچه کوچک - شانل - مدل 6p,سرویس پخت و پز,متفرقه,"جنس روکش داخلی گرانیت, تعداد پارچه 6 پارچه, کشور مبدا ایران"
13712573.0,باتری موبایل مدل EB-BN985ABY ظرفیت 4500 میلی آمپر ساعت مناسب برای گوشی موبایل سامسونگ galaxy NOTE 20 ULTRA,باتری گوشی,متفرقه,نوع الکترونیک
